TRADING_CODE,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
POWERGRID,2026-08-11,41.2,41.2,39.9,40,154218
PRAGATIINS,2026-08-11,77.3,84.7,77.3,81.6,670640
PRAGATILIF,2026-08-11,173.9,176,170,170.6,164269
PREBPBOND,2026-08-11,0,0,0,0,0
PREMIERBAN,2026-08-11,5.6,5.8,5.6,5.8,1247308
PREMIERCEM,2026-08-11,48.4,49.4,48.4,49.2,181580
PREMIERLEA,2026-08-11,2.3,2.7,2.3,2.5,1753567
PRIME1ICBA,2026-08-11,6.9,7.2,6.8,6.9,377283
PRIMEBANK,2026-08-11,30,30.2,30,30.1,523497
PRIMEFIN,2026-08-11,3.4,3.5,3.2,3.2,956854
PRIMEINSUR,2026-08-11,60.1,64.1,60.1,61.8,1630723
PRIMELIFE,2026-08-11,43.5,43.9,42.4,42.6,112072
PRIMETEX,2026-08-11,17,17.1,16.7,16.8,42130
PROGRESLIF,2026-08-11,41.7,41.7,40.6,41.4,10707
PROVATIINS,2026-08-11,59.1,60.3,58.7,58.9,438678
PTL,2026-08-11,63.4,64.5,63.4,63.8,345821
PUBALIBANK,2026-08-11,38.3,39.1,38.1,38.7,916222
PURABIGEN,2026-08-11,32.6,33.4,31.8,32.3,1043577
QUASEMIND,2026-08-11,45,45.5,44.8,45,348954
QUEENSOUTH,2026-08-11,18.4,18.8,18.1,18.2,3173991
RAHIMAFOOD,2026-08-11,83.6,85,82.5,83.3,53994
RAHIMTEXT,2026-08-11,213,217,213,213.7,18136
RAKCERAMIC,2026-08-11,30.3,30.7,30.2,30.3,196535
RANFOUNDRY,2026-08-11,161.5,163.7,160.9,161.2,19728
RDFOOD,2026-08-11,27.2,27.6,27.1,27.3,555299
RECKITTBEN,2026-08-11,3300.4,3320,3299.2,3301.8,472
REGENTTEX,2026-08-11,6.9,7.1,6.8,6.9,224714
RELIANCE1,2026-08-11,12,12.3,11.9,12,699577
RELIANCINS,2026-08-11,113.5,116.4,112.1,115.4,313568
RENATA,2026-08-11,469.6,475.9,468.5,473.4,16635
RENWICKJA,2026-08-11,846.6,920,841,890,1804
REPUBLIC,2026-08-11,41.9,42.8,40.8,41.7,1398576
RINGSHINE,2026-08-11,4.8,4.9,4.7,4.8,1514308
ROBI,2026-08-11,31.7,32.2,31.6,32.1,1648837
RSRMSTEEL,2026-08-11,8,8.2,7.9,8,207761
RUNNERAUTO,2026-08-11,47.9,48.2,46.9,47.1,1338322
RUPALIBANK,2026-08-11,17.8,17.8,17.4,17.6,176418
RUPALIINS,2026-08-11,31.5,33.6,31.4,32.1,3224344
RUPALILIFE,2026-08-11,92.5,94.5,91.9,92.8,300159
SAFKOSPINN,2026-08-11,21.6,21.7,20,20.5,354438
SAIFPOWER,2026-08-11,10.1,10.7,10,10.7,3706839
SAIHAMCOT,2026-08-11,22.4,22.6,22.1,22.2,3373945
SAIHAMTEX,2026-08-11,27.1,27.7,26.6,26.9,8331649
SALAMCRST,2026-08-11,12.7,13,12.7,12.8,201738
SALVO,2026-08-11,37.5,37.7,37.3,37.3,296394
SAMATALETH,2026-08-11,105.8,110.1,105.8,107.8,104107
SAMORITA,2026-08-11,101,104.2,99.8,100.9,218742
SANDHANINS,2026-08-11,29.4,29.7,28.9,29.1,903241
SAPORTL,2026-08-11,59.7,60.6,59,60.5,2724923
SAVAREFR,2026-08-11,0,0,0,0,0
SBACBANK,2026-08-11,7.2,7.4,6.9,7.3,174734
SEAPEARL,2026-08-11,39.1,39.4,39,39.2,430933
SEB1PBOND,2026-08-11,0,0,0,0,0
SEMLFBSLGF,2026-08-11,7.8,7.9,7.5,7.6,1080282
SEMLIBBLSF,2026-08-11,8.1,8.1,7.9,7.9,202507
SHAHJABANK,2026-08-11,17.4,17.7,17.4,17.7,174398
SHARPIND,2026-08-11,42.5,43.7,42.3,42.9,9665203
SHASHADNIM,2026-08-11,29,29.3,28.7,28.7,1301993
SHEPHERD,2026-08-11,17.6,17.6,17.2,17.3,1445870
SHURWID,2026-08-11,6.5,6.5,6.3,6.3,54184
SHYAMPSUG,2026-08-11,289.9,299.7,287,288.1,21941
SIBL,2026-08-11,0,0,0,0,0
SICL,2026-08-11,37.5,38.3,37.5,37.7,521840
SILCOPHL,2026-08-11,20.6,20.9,20.6,20.7,517621
SILVAPHL,2026-08-11,16.5,16.8,16.4,16.5,895755
SIMTEX,2026-08-11,27.4,27.8,27.3,27.4,1022350
SINGERBD,2026-08-11,77.9,78.8,77.5,78.2,12876
SINOBANGLA,2026-08-11,57.5,57.7,56.8,57,294085
SIPLC,2026-08-11,132,144.3,127.4,143.4,905635
SJIBLPBOND,2026-08-11,0,0,0,0,0
SKTRIMS,2026-08-11,14.8,14.9,14.6,14.8,255616
SONALIANSH,2026-08-11,220.1,224.9,220.1,222.9,202343
SONALILIFE,2026-08-11,89.7,91,87.2,87.9,390296
SONALIPAPR,2026-08-11,249.8,255.4,247,249.6,285342
